禁赛	jin4'sai4
本位主义	ben3'wei4'zhu3'yi4
边地	bian1'di4
边防站	bian1'fang2'zhan4
禀告	bing3'gao4
不成话	bu4'cheng2'hua4
不得要领	bu4'de2'yao4'ling3
彩陶	cai3'tao2
茶桌	cha2'zhuo1
超凡脱俗	chao1'fan2'tuo1'su2
瞅准	chou3'zhun3
垂落	chui2'luo4
唇枪舌剑	chun2'qiang1'she2'jian4
搭腔	da1'qiang1
打紧	da3'jin3
大后方	da4'hou4'fang1
胆小鬼	dan3'xiao3'gui3
独生女	du2'sheng1'nv3
对攻	dui4'gong1
对局	dui4'ju2
放浪	fang4'lang4
放赈	fang4'zhen4
飞黄腾达	fei1'huang2'teng2'da2
肥硕	fei2'shuo4
丰饶	feng1'rao2
浮尘	fu2'chen2
官宦	guan1'huan4
行市	hang2'shi
好一阵	hao3'yi1'zhen4
黑钱	hei1'qian2
横批	heng2'pi1
话柄	hua4'bing3
换班	huan4'ban1
黄蜂	huang2'feng1
挥汗	hui1'han4
佳品	jia1'pin3
假托	jia3'tuo1
肩章	jian1'zhang1
见缝插针	jian4'feng4'cha1'zhen1
脚后跟	jiao3'hou4'gen
借题发挥	jie4'ti2'fa1'hui1
经脉	jing1'mai4
惊悸	jing1'ji4
酒兴	jiu3'xing4
旧友	jiu4'you3
就地取材	jiu4'di4'qu3'cai2
空阔	kong1'kuo4
旷工	kuang4'gong1
缆绳	lan3'sheng2
冷寂	leng3'ji4
立体感	li4'ti3'gan3
流脑	liu2'nao3
流散	liu2'san4
龙袍	long2'pao2
轮奸	lun2'jian1
门市	men2'shi4
蒙混过关	meng2'hun4'guo4'guan1
奶头	nai3'tou2
男式	nan2'shi4
恼恨	nao3'hen4
逆来顺受	ni4'lai2'shun4'shou4
镊子	nie4'zi3
泡汤	pao4'tang1
配药	pei4'yao4
皮匠	pi2'jiang4
铺展	pu1'zhan3
其貌不扬	qi2'mao4'bu4'yang2
青丝	qing1'si1
情敌	qing2'di2
求胜	qiu2'sheng4
饶命	rao2'ming4
如泣如诉	ru2'qi4'ru2'su4
上机	shang4'ji1
上联	shang4'lian2
生趣	sheng1'qu4
诗刊	shi1'kan1
石油气	shi2'you2'qi4
收租	shou1'zu1
手袋	shou3'dai4
受困	shou4'kun4
受孕	shou4'yun4
司仪	si1'yi2
丝瓜	si1'gua1
死灰	si3'hui1
松口	song1'kou3
同路人	tong2'lu4'ren2
偷拍	tou1'pai1
涂鸦	tu2'ya1
颓败	tui2'bai4
歪门邪道	wai1'men2'xie2'dao4
外派	wai4'pai4
委以	wei3'yi3
瘟神	wen1'shen2
无底洞	wu2'di3'dong4
无可争辩	wu2'ke3'zheng1'bian4
下马威	xia4'ma3'wei1
小白菜	xiao3'bai2'cai4
小号	xiao3'hao4
叙谈	xu4'tan2
训示	xun4'shi4
要旨	yao4'zhi3
一日千里	yi1'ri4'qian1'li3
音律	yin1'lv4
应考	ying4'kao3
油彩	you2'cai3
油箱	you2'xiang1
诱杀	you4'sha1
羽坛	yu3'tan2
载运	zai4'yun4
藏胞	cang2'bao1
炸裂	zha4'lie4
债台高筑	zhai4'tai2'gao1'zhu4
战无不胜	zhan4'wu2'bu4'sheng4
鹧鸪	zhe4'gu1
纸板	zhi3'ban3
指正	zhi3'zheng4
状子	zhuang4'zi3
尊容	zun1'rong2
暗红	an4'hong2
白虎	bai2'hu3
保险单	bao3'xian3'dan1
保育	bao3'yu4
笔筒	bi3'tong3
边防线	bian1'fang2'xian4
边塞	bian1'sai4
标号	biao1'hao4
博导	bo2'dao3
猜度	cai1'duo2
菜市	cai4'shi4
餐巾纸	can1'jin1'zhi3
惨笑	can3'xiao4
成林	cheng2'lin2
承蒙	cheng2'meng2
赤胆忠心	chi4'dan3'zhong1'xin1
敕书	chi4'shu1
重行	chong2'xing2
出头露面	chu1'tou2'lou4'mian4
初时	chu1'shi2
椽子	chuan2'zi3
创口	chuang1'kou3
翠鸟	cui4'niao3
大盖帽	da4'gai4'mao4
大书特书	da4'shu1'te4'shu1
低等	di1'deng3
低回	di1'hui2
滴水不漏	di1'shui3'bu4'lou4
调门儿	diao4'men2'er
叮咚	ding1'dong1
钉螺	ding1'luo2
对偶	dui4'ou3
法办	fa3'ban4
繁花似锦	fan2'hua1'si4'jin3
方丈	fang1'zhang
飞蛾	fei1'e2
风光旖旎	feng1'guang1'yi3'ni3
感受器	gan3'shou4'qi4
搞对象	gao3'dui4'xiang4
阁员	ge2'yuan2
梗阻	geng3'zu3
寡头	gua3'tou2
官僚资本	guan1'liao2'zi1'ben3
